,Colors,Satisfaction_levels,Temperature,Income
0,crimson,Medium,67,300310
1,purple,Low,26,194925
2,red,High,6,803191
3,yellow,Medium,11,719322
4,yellow,Low,81,587929
5,yellow,Medium,55,256976
6,blue,Low,43,113595
7,yellow,High,67,161163
8,purple,High,20,48825
9,green,Medium,91,878068
10,crimson,Medium,92,566927
11,red,Low,14,107628
12,red,Medium,14,300088
13,crimson,High,80,695589
14,green,High,99,295490
15,blue,High,63,101996
16,red,Medium,43,941131
17,blue,Low,27,61935
18,purple,High,87,29019
19,blue,High,20,908085
20,purple,Medium,23,519172
21,red,Medium,34,158737
22,blue,Medium,32,518174
23,crimson,Medium,65,288652
24,yellow,Low,22,955436
25,red,Medium,21,752016
26,yellow,Low,57,936578
27,purple,Low,68,602277
28,red,High,45,658740
29,green,High,39,21660
30,yellow,Medium,24,444607
31,red,High,86,214402
32,blue,Low,17,181299
33,yellow,Medium,52,551029
34,purple,Medium,90,285007
35,yellow,Medium,8,939546
36,yellow,Medium,5,204070
37,red,High,97,970340
38,blue,Medium,86,41705
39,blue,Low,82,478264
40,blue,Medium,10,655823
41,red,High,62,568768
42,green,Low,29,386538
43,crimson,High,11,538874
44,yellow,High,30,303099
45,yellow,High,71,54064
46,green,High,58,808194
47,crimson,Medium,94,764598
48,green,High,42,746141
49,red,Medium,85,168508
50,red,Medium,71,98108
51,crimson,High,25,448657
52,purple,Low,54,813445
53,purple,High,83,292985
54,red,High,25,365221
55,crimson,Medium,45,631747
56,blue,Medium,3,602347
57,crimson,Medium,84,788947
58,blue,Medium,83,465005
59,green,High,37,866520
60,green,Low,33,764927
61,red,Low,60,467966
62,blue,Low,89,76581
63,blue,Low,7,734781
64,blue,Medium,60,542233
65,blue,High,37,101845
66,yellow,Medium,84,81889
67,yellow,Medium,98,139272
68,green,High,16,72378
69,yellow,High,45,92988
70,red,High,39,315911
71,yellow,Medium,33,694215
72,purple,Low,97,724097
73,crimson,Medium,65,577161
74,blue,Medium,73,403663
75,green,High,87,820877
76,crimson,Medium,68,50624
77,yellow,Low,24,270233
78,crimson,Low,6,229156
79,crimson,Medium,97,861142
80,crimson,High,60,55200
81,yellow,Medium,88,896811
82,crimson,Low,61,913107
83,crimson,Low,59,594051
84,crimson,Medium,74,233956
85,red,Low,29,437562
86,crimson,Medium,28,314415
87,yellow,Low,24,829457
88,green,High,3,110844
89,purple,Low,82,608650
90,purple,Medium,21,991664
91,purple,Medium,6,606612
92,red,High,84,45670
93,blue,Low,21,833816
94,purple,Medium,27,931455
95,blue,Low,26,397858
96,yellow,High,89,196636
97,red,Medium,64,936753
98,purple,High,3,621330
99,red,Medium,53,982369
100,blue,Low,37,919232
101,green,Medium,7,87809
102,crimson,High,80,521158
103,green,Medium,75,972900
104,red,High,11,38270
105,purple,Medium,2,879396
106,yellow,High,54,180763
107,green,Low,5,694127
108,green,Medium,17,205471
109,purple,Low,78,728885
110,red,Medium,5,482713
111,purple,Medium,78,934803
112,blue,Low,81,717446
113,red,High,30,476458
114,green,Low,98,32560
115,green,Low,3,742946
116,yellow,Medium,0,263502
117,green,High,93,69853
118,yellow,High,44,599758
119,green,Low,44,336526
120,blue,Low,61,890688
121,green,High,0,405255
122,yellow,Low,17,951735
123,yellow,Medium,29,351453
124,yellow,Medium,91,765857
125,green,Low,34,490308
126,yellow,Medium,59,122233
127,crimson,High,21,905000
128,blue,Low,63,992335
129,green,Medium,94,342395
130,yellow,Low,17,332320
131,blue,High,38,282307
132,green,Medium,79,666170
133,blue,High,1,221918
134,crimson,Low,15,157071
135,green,Low,86,55764
136,yellow,Medium,17,953866
137,red,High,53,62646
138,yellow,Low,22,711841
139,green,High,77,775971
140,yellow,High,47,937763
141,red,Medium,66,783234
142,red,High,11,418452
143,red,Low,9,601796
144,yellow,Low,40,731082
145,green,Medium,54,328244
146,yellow,High,51,366245
147,red,Low,47,542968
148,crimson,Low,4,406047
149,red,Medium,10,637555
150,purple,High,6,65797
151,red,High,44,989987
152,purple,High,72,441715
153,green,Low,8,737975
154,yellow,Low,72,539216
155,green,Medium,18,887166
156,yellow,Low,2,561342
157,purple,Medium,69,627449
158,red,Medium,93,165287
159,red,High,29,331210
160,red,Medium,27,757932
161,yellow,High,17,60452
162,red,High,58,491280
163,green,Low,11,360891
164,green,Low,49,712428
165,red,Medium,72,822415
166,crimson,Medium,88,347420
167,yellow,Medium,3,200651
168,crimson,Medium,11,441557
169,purple,Low,57,188174
170,red,Medium,50,343210
171,crimson,High,15,842003
172,yellow,Low,57,44619
173,purple,High,3,341286
174,yellow,Medium,60,577767
175,crimson,Low,39,854048
176,purple,High,85,176211
177,blue,Low,29,626882
178,purple,High,53,870784
179,yellow,Low,67,869607
180,red,High,56,249278
181,red,High,75,651570
182,red,High,79,721216
183,purple,Low,45,560674
184,purple,High,90,568518
185,blue,High,79,88876
186,red,Medium,97,742496
187,crimson,High,11,254366
188,blue,Medium,5,266524
189,purple,Low,30,408168
190,purple,High,58,628003
191,yellow,Low,68,625581
192,blue,Medium,59,508318
193,red,Medium,32,579066
194,red,Low,37,941731
195,crimson,High,43,979718
196,yellow,Low,60,997350
197,yellow,Medium,45,75700
198,blue,Medium,29,844122
199,purple,High,27,144930
200,purple,Medium,27,774645
201,red,High,29,783391
202,red,High,72,220372
203,blue,High,75,613466
204,green,Medium,97,237198
205,red,Low,78,959602
206,yellow,Low,38,786206
207,purple,Medium,11,509040
208,blue,Low,74,816985
209,blue,Low,89,855243
210,crimson,Medium,32,246593
211,red,Low,50,879626
212,purple,Medium,40,761445
213,red,High,70,703229
214,yellow,High,30,328303
215,green,Low,22,584313
216,yellow,Medium,75,692237
217,green,High,35,686613
218,crimson,Medium,84,287544
219,yellow,Medium,68,712580
220,purple,Medium,63,358620
221,purple,Low,4,545177
222,yellow,High,49,997728
223,red,Low,29,574429
224,yellow,Medium,63,402029
225,red,High,61,685100
226,crimson,Low,91,950502
227,green,High,83,643729
228,yellow,Low,90,890961
229,purple,Medium,26,205248
230,purple,High,73,678547
231,crimson,Medium,50,662787
232,red,Medium,95,604077
233,green,High,94,282219
234,yellow,High,17,825905
235,yellow,Low,71,179191
236,blue,Low,56,485199
237,purple,Medium,35,675690
238,yellow,Low,73,796614
239,crimson,High,92,551060
240,purple,High,47,957205
241,purple,High,48,561542
242,yellow,Medium,71,624592
243,yellow,Low,67,320509
244,blue,Low,71,934201
245,blue,Low,62,389187
246,blue,Low,72,482279
247,yellow,Low,37,954848
248,green,Low,5,427360
249,green,Low,97,119336
250,crimson,Medium,55,55779
251,yellow,Low,92,571686
252,blue,Low,46,244357
253,green,Low,38,154140
254,yellow,Medium,49,88999
255,purple,Low,8,934355
256,purple,Medium,65,420845
257,purple,Medium,66,52850
258,blue,Medium,62,784280
259,crimson,High,16,308273
260,green,Low,61,285987
261,green,High,66,195230
262,red,Low,11,125736
263,blue,Medium,31,99403
264,purple,Medium,10,785629
265,red,Low,20,365859
266,crimson,Low,14,859980
267,red,Medium,52,134677
268,yellow,Low,71,468817
269,green,Low,29,356946
270,purple,High,5,821930
271,purple,Medium,14,996043
272,red,High,79,41199
273,red,Medium,51,770555
274,purple,High,32,711302
275,blue,Low,23,453635
276,blue,Low,91,862066
277,red,Medium,6,343325
278,yellow,Medium,73,138078
279,red,Medium,65,693141
280,yellow,High,75,628675
281,red,Medium,87,622453
282,crimson,Low,70,184764
283,crimson,Medium,40,172507
284,red,Low,60,812801
285,blue,High,36,41593
286,yellow,Low,12,741354
287,crimson,Low,35,103457
288,yellow,High,62,376858
289,green,Low,69,93109
290,purple,High,62,532921
291,blue,High,58,497816
292,blue,High,76,594889
293,green,Low,18,770605
294,blue,High,0,703699
295,purple,Medium,1,965474
296,crimson,Low,84,661234
297,purple,Low,77,910068
298,green,Medium,90,562343
299,purple,Medium,21,883016
300,purple,Medium,78,159576
301,crimson,Medium,13,896885
302,crimson,High,67,460357
303,purple,Low,17,844750
304,purple,Low,5,828147
305,green,Medium,26,750586
306,yellow,High,63,259287
307,purple,High,27,265248
308,yellow,Medium,41,463784
309,blue,Medium,13,715292
310,green,Medium,45,207093
311,crimson,Medium,48,199579
312,yellow,High,56,827151
313,yellow,Low,58,135365
314,blue,High,17,467427
315,blue,Low,86,643278
316,purple,Low,95,954632
317,purple,Low,89,298953
318,blue,High,92,528764
319,blue,Medium,77,285279
320,green,Medium,7,713305
321,red,High,26,799255
322,yellow,High,17,420996
323,blue,Low,68,583751
324,crimson,High,43,581857
325,yellow,Low,47,324563
326,blue,High,94,409485
327,blue,Medium,92,632037
328,green,Medium,72,225754
329,red,Medium,58,642427
330,red,High,27,782207
331,green,Low,6,856520
332,crimson,Medium,7,607849
333,red,Low,53,235733
334,crimson,Medium,26,675224
335,yellow,Low,75,579623
336,yellow,High,37,28547
337,red,High,93,997839
338,red,Low,49,700645
339,yellow,High,20,536777
340,purple,Low,93,618812
341,yellow,High,56,436634
342,red,High,61,399733
343,yellow,Low,55,352555
344,red,Medium,92,57379
345,purple,Medium,23,300850
346,green,Medium,57,714179
347,blue,Low,9,929358
348,red,Medium,0,558985
349,crimson,High,19,35505
350,red,Medium,71,832143
351,yellow,High,50,599739
352,crimson,Medium,38,225878
353,crimson,Medium,67,206991
354,blue,Low,30,950505
355,red,High,37,38835
356,green,High,56,671463
357,crimson,High,5,306279
358,crimson,Medium,59,179589
359,green,Medium,80,48075
360,crimson,Low,90,271902
361,yellow,Low,61,102860
362,green,Low,31,390286
363,yellow,Medium,70,809154
364,red,Low,89,114881
365,purple,High,75,312938
366,purple,Low,17,417687
367,purple,Medium,31,457061
368,red,Low,31,428028
369,red,High,84,406862
370,purple,High,90,618944
371,yellow,High,39,515827
372,crimson,Medium,50,463815
373,crimson,High,74,794558
374,purple,Low,38,39679
375,green,Low,68,251279
376,green,High,39,492239
377,crimson,Medium,79,228769
378,blue,High,13,310720
379,yellow,Low,35,885150
380,yellow,Low,11,643720
381,yellow,High,75,684255
382,blue,Medium,54,795287
383,green,Low,36,977741
384,purple,Medium,82,186071
385,green,High,75,623246
386,yellow,Low,51,109974
387,purple,Low,34,916320
388,green,Low,58,446853
389,yellow,Low,80,547829
390,crimson,Low,28,240822
391,crimson,Low,9,144933
392,green,High,8,929165
393,purple,Low,17,119363
394,blue,Low,92,680333
395,green,High,25,388419
396,purple,Low,94,607388
397,red,Low,59,336008
398,yellow,High,94,531132
399,red,Low,59,228475
400,green,Low,58,159003
401,crimson,High,18,374441
402,yellow,Low,12,855883
403,green,High,1,390307
404,blue,Low,27,491147
405,green,Low,10,581035
406,blue,High,67,832502
407,crimson,Medium,61,309386
408,purple,High,16,513290
409,blue,Medium,27,44708
410,red,Medium,6,406717
411,purple,Low,0,36700
412,red,High,7,976844
413,red,Medium,25,948734
414,red,Medium,67,70245
415,red,Medium,59,914511
416,blue,Medium,36,619244
417,red,High,44,791729
418,yellow,Low,85,579183
419,blue,Low,72,47320
420,crimson,Medium,38,853065
421,blue,Low,42,401848
422,green,Medium,97,395509
423,crimson,Low,36,879752
424,red,Low,68,226339
425,red,High,91,646364
426,green,Medium,13,396622
427,purple,High,13,989072
428,red,Low,41,381631
429,crimson,Medium,72,327654
430,crimson,Medium,6,488991
431,crimson,Medium,94,814419
432,blue,Medium,12,118401
433,blue,Medium,98,686799
434,crimson,Medium,3,391979
435,blue,Low,16,234887
436,purple,Medium,5,750430
437,blue,Low,40,552104
438,yellow,High,55,322211
439,purple,Low,29,812683
440,blue,High,53,836950
441,yellow,Medium,22,653575
442,purple,Low,23,372425
443,yellow,Low,36,959318
444,blue,Low,59,565049
445,blue,High,34,793997
446,blue,Medium,70,915366
447,red,Low,6,298599
448,yellow,High,88,384264
449,red,Low,76,74621
450,crimson,Low,17,815390
451,blue,Low,95,597477
452,crimson,Low,48,422982
453,purple,High,37,808419
454,red,Medium,0,348967
455,yellow,Medium,74,69522
456,green,Low,4,970187
457,blue,High,95,680375
458,crimson,Medium,60,547576
459,crimson,Medium,10,171538
460,crimson,Low,29,606525
461,red,Low,97,369491
462,red,High,13,855473
463,green,Medium,19,914648
464,purple,Low,41,111435
465,red,High,76,551361
466,yellow,High,44,903504
467,yellow,High,51,555246
468,crimson,Medium,16,252298
469,blue,Medium,37,638922
470,crimson,Medium,14,93424
471,yellow,High,36,614159
472,yellow,High,4,67093
473,yellow,Low,47,916129
474,crimson,Low,0,576394
475,green,Medium,49,518229
476,blue,Medium,37,787424
477,green,Low,75,735507
478,green,Medium,44,799647
479,blue,Low,69,143960
480,yellow,Low,16,598703
481,yellow,Low,16,282480
482,crimson,High,10,327400
483,crimson,Medium,5,892809
484,green,High,23,783540
485,blue,Medium,47,853213
486,blue,High,67,952662
487,red,Medium,38,840651
488,red,Medium,18,286649
489,green,Low,94,577184
490,crimson,High,80,353947
491,yellow,High,31,477009
492,purple,Medium,42,382919
493,yellow,High,47,348066
494,green,Medium,21,168678
495,blue,Medium,97,989603
496,red,Low,55,507198
497,crimson,Medium,74,94509
498,blue,High,31,542004
499,crimson,Low,83,512404
500,crimson,Medium,66,371563
501,green,Low,19,936747
502,red,Low,31,821413
503,red,Medium,19,126352
504,purple,High,39,872624
505,yellow,Medium,39,722925
506,blue,Medium,61,103134
507,purple,Medium,97,699304
508,purple,Medium,44,93755
509,blue,Medium,54,24998
510,purple,High,94,116620
511,red,Low,62,998678
512,crimson,High,76,893002
513,yellow,Medium,16,39076
514,purple,Low,80,305672
515,yellow,Low,6,618415
516,crimson,Low,68,660956
517,yellow,High,45,68512
518,crimson,High,84,101063
519,yellow,High,30,240709
520,red,Medium,76,319526
521,purple,High,53,425235
522,yellow,High,33,999549
523,yellow,High,90,72026
524,blue,Low,18,738703
525,yellow,Low,6,611769
526,purple,Medium,2,414828
527,purple,Low,26,607840
528,crimson,Medium,25,745042
529,red,Low,13,265937
530,yellow,Medium,63,21436
531,red,Medium,91,782874
532,red,Low,62,625127
533,yellow,Low,57,235489
534,blue,High,37,646284
535,green,High,45,474384
536,yellow,Medium,21,766546
537,green,Medium,69,432039
538,yellow,Medium,49,538120
539,red,Low,25,163130
540,yellow,Low,12,259933
541,green,High,52,645328
542,red,Low,70,565262
543,yellow,Medium,47,643374
544,blue,High,73,241503
545,crimson,Low,10,656383
546,yellow,Medium,72,54645
547,blue,Low,90,860244
548,green,Low,16,135079
549,purple,Low,95,711236
550,blue,Medium,94,932848
551,crimson,Medium,38,961766
552,blue,Low,48,621322
553,purple,Medium,60,55220
554,yellow,Low,6,923718
555,blue,High,70,239524
556,yellow,Medium,1,673456
557,green,Low,63,963842
558,crimson,Low,65,494223
559,purple,Low,21,932568
560,blue,High,46,724763
561,crimson,Medium,0,672143
562,blue,Low,86,786959
563,crimson,Low,36,73991
564,blue,Low,26,31391
565,green,Medium,20,288303
566,purple,High,84,961528
567,purple,High,34,585902
568,green,Low,61,615850
569,yellow,Low,30,286998
570,blue,Medium,27,256804
571,green,Low,73,295028
572,green,High,72,869001
573,crimson,Medium,52,184404
574,green,Medium,84,982251
575,green,Low,23,195356
576,yellow,High,62,138581
577,red,Medium,48,209917
578,purple,Medium,59,194324
579,crimson,Low,43,505164
580,green,High,42,750330
581,red,High,13,465820
582,red,Medium,9,950011
583,green,High,27,292130
584,yellow,Low,90,841436
585,purple,Low,34,177762
586,purple,Medium,70,366621
587,purple,Medium,41,403511
588,blue,High,37,491789
589,purple,Low,6,779836
590,yellow,High,58,84309
591,green,High,85,985522
592,crimson,Medium,3,329103
593,blue,Low,75,638427
594,blue,Low,11,384097
595,green,High,29,660068
596,green,Low,78,320068
597,crimson,Low,83,116081
598,purple,High,26,422456
599,yellow,Medium,80,949643
600,crimson,Medium,35,260972
601,purple,Medium,52,917314
602,green,High,17,84312
603,crimson,Low,80,75282
604,purple,High,10,44127
605,green,High,60,210409
606,blue,Medium,73,725828
607,crimson,Low,99,994699
608,red,Medium,25,337865
609,blue,Low,26,203185
610,red,Low,51,960319
611,green,Medium,79,110618
612,red,Medium,27,701586
613,yellow,High,4,804623
614,purple,Low,85,385548
615,green,Low,53,330790
616,red,Low,23,258352
617,green,Low,22,396606
618,yellow,Low,92,126268
619,red,High,43,563871
620,red,Low,6,356331
621,blue,High,13,118464
622,red,Medium,77,456070
623,purple,High,17,466937
624,red,High,40,663622
625,green,High,94,231229
626,yellow,Medium,68,805666
627,crimson,Low,18,771187
628,purple,High,2,241516
629,yellow,Medium,27,537184
630,yellow,High,8,341961
631,red,High,79,955062
632,crimson,Medium,51,280625
633,crimson,High,87,131274
634,yellow,High,47,914980
635,green,Low,63,943780
636,crimson,Medium,30,660402
637,crimson,High,13,260325
638,purple,Medium,92,472622
639,yellow,Medium,46,282154
640,purple,Low,14,667474
641,purple,Low,46,844285
642,blue,Low,45,284915
643,crimson,High,97,129346
644,purple,High,4,921123
645,purple,High,10,584232
646,yellow,High,63,879098
647,blue,High,18,709746
648,yellow,High,72,765028
649,purple,Medium,58,538791
650,yellow,Medium,73,289661
651,green,Low,13,416323
652,red,High,12,756975
653,blue,Medium,29,836174
654,purple,Low,78,510669
655,purple,Low,77,624611
656,purple,Low,9,548954
657,red,Low,46,434339
658,blue,Medium,60,595686
659,purple,Medium,76,944738
660,blue,Medium,29,653829
661,purple,Low,75,753848
662,crimson,Low,24,971991
663,green,High,59,681155
664,green,High,72,762659
665,yellow,Low,15,642491
666,red,Medium,54,678418
667,purple,Low,32,268642
668,purple,High,80,255006
669,yellow,High,11,952208
670,green,Medium,15,252458
671,yellow,Low,25,439949
672,green,High,21,287455
673,green,Medium,22,945051
674,blue,High,81,784016
675,yellow,Medium,92,926617
676,blue,High,91,683557
677,yellow,High,72,298004
678,purple,Low,91,355144
679,green,Medium,92,970230
680,purple,Medium,99,716756
681,green,High,30,574923
682,crimson,Low,41,924641
683,blue,High,9,393638
684,purple,High,52,691516
685,red,High,43,610213
686,yellow,Medium,81,929544
687,purple,Low,50,382058
688,red,High,16,278695
689,crimson,High,64,898365
690,green,High,26,706948
691,blue,Medium,7,48719
692,red,High,54,22492
693,blue,Medium,82,157535
694,green,Medium,58,747675
695,blue,Medium,75,673762
696,blue,Medium,57,552777
697,purple,Medium,58,861245
698,yellow,Low,76,426624
699,red,Medium,13,146513
700,crimson,Medium,72,958804
701,blue,High,18,838724
702,blue,Low,17,495795
703,purple,Low,42,748928
704,crimson,High,44,439061
705,red,Medium,98,45179
706,green,Low,75,563898
707,yellow,Medium,87,486488
708,crimson,High,70,207704
709,blue,Low,78,613692
710,green,Medium,46,822733
711,yellow,Low,54,481783
712,crimson,Low,50,651250
713,blue,Medium,43,609061
714,red,Medium,65,266721
715,crimson,Low,78,419957
716,blue,High,6,301890
717,green,Low,47,590241
718,crimson,High,44,487549
719,yellow,Low,9,599309
720,red,Medium,3,71170
721,crimson,High,9,329518
722,purple,High,34,179978
723,crimson,Low,94,963646
724,purple,Low,1,275881
725,red,High,38,112598
726,purple,Medium,78,613691
727,green,High,80,142828
728,yellow,High,94,224125
729,blue,Medium,50,990404
730,green,Medium,13,204486
731,blue,Low,86,880252
732,purple,Low,46,920721
733,yellow,Low,99,820341
734,green,Medium,87,91895
735,crimson,High,37,177093
736,green,Medium,93,449972
737,blue,Low,90,971053
738,crimson,High,82,827021
739,red,Low,86,914632
740,green,High,6,445394
741,green,Medium,74,809993
742,crimson,Low,43,817822
743,green,Medium,1,443361
744,crimson,Medium,73,777818
745,red,Medium,90,292487
746,green,High,48,737676
747,blue,Medium,79,619113
748,green,Medium,17,235601
749,crimson,High,19,843569
750,crimson,Medium,19,307025
751,blue,Medium,65,815737
752,blue,Medium,27,952311
753,crimson,High,35,776665
754,purple,High,9,915976
755,crimson,Low,13,884505
756,green,Medium,53,442003
757,crimson,High,70,975082
758,blue,Medium,88,498042
759,green,High,10,43821
760,crimson,High,43,276287
761,red,High,5,391836
762,blue,Low,40,150581
763,purple,Medium,15,942465
764,red,High,14,661517
765,green,Medium,85,190241
766,blue,High,0,205824
767,green,Medium,35,378571
768,yellow,Medium,97,440535
769,blue,High,14,905574
770,green,Medium,6,842562
771,red,Low,88,164350
772,green,Low,3,862286
773,crimson,Medium,68,993146
774,crimson,Medium,95,390150
775,red,High,27,805380
776,green,High,67,635057
777,blue,Medium,34,117136
778,red,Medium,41,910124
779,green,Medium,13,527444
780,yellow,Medium,17,84303
781,crimson,Low,40,684948
782,red,Medium,74,913863
783,green,High,38,124304
784,yellow,Low,42,346576
785,crimson,Medium,67,174265
786,yellow,High,27,346464
787,purple,Low,60,61276
788,red,Medium,15,426686
789,green,Medium,34,849673
790,yellow,Medium,50,50447
791,yellow,Medium,44,339078
792,yellow,Low,84,821628
793,blue,High,52,542730
794,yellow,Medium,25,501871
795,green,Low,75,737222
796,green,Low,44,576390
797,green,High,81,196086
798,crimson,Low,5,593232
799,yellow,Low,83,680743
800,red,High,71,342085
801,crimson,Low,68,509714
802,purple,Low,95,304482
803,blue,High,93,673389
804,green,Low,91,512820
805,blue,High,32,784718
806,crimson,Medium,41,618493
807,blue,Medium,82,610112
808,crimson,Medium,29,194519
809,purple,Medium,13,220083
810,blue,Low,9,157196
811,green,Medium,54,858636
812,purple,High,8,591832
813,yellow,High,25,56374
814,green,High,33,134774
815,purple,High,17,759820
816,green,Medium,47,255749
817,green,High,16,960604
818,yellow,Medium,49,403650
819,green,High,62,815197
820,crimson,High,71,242134
821,purple,Medium,94,512582
822,blue,Medium,80,834805
823,yellow,Low,86,516604
824,red,Low,37,192720
825,purple,Low,9,155586
826,crimson,High,46,555485
827,purple,High,12,881889
828,yellow,High,88,178902
829,blue,Low,22,276877
830,yellow,Low,56,200369
831,crimson,Low,78,682068
832,crimson,High,45,390978
833,purple,Medium,33,261579
834,red,Low,62,847533
835,green,Medium,4,237105
836,blue,High,69,187711
837,purple,Low,76,810754
838,crimson,High,41,191629
839,crimson,Medium,12,375969
840,blue,High,0,707685
841,purple,High,69,20943
842,crimson,Low,22,822034
843,red,Medium,97,758470
844,red,Low,49,114015
845,green,High,65,905919
846,purple,High,10,819580
847,purple,Medium,70,575110
848,purple,High,16,850202
849,yellow,Low,71,769682
850,blue,Medium,27,619280
851,red,High,38,660836
852,red,Low,84,495015
853,red,Low,41,221283
854,red,Medium,82,789078
855,green,High,70,857653
856,crimson,Low,38,267957
857,purple,Medium,34,97113
858,red,Low,74,197114
859,purple,High,40,939874
860,green,Low,40,64764
861,yellow,High,27,407887
862,purple,Low,94,832064
863,crimson,High,36,253701
864,yellow,Low,98,537793
865,crimson,Low,59,255450
866,purple,Medium,89,57792
867,crimson,High,27,606897
868,crimson,Low,56,115113
869,green,Medium,58,55427
870,blue,Low,31,902604
871,yellow,Medium,48,452726
872,crimson,Low,3,780069
873,crimson,Medium,64,380406
874,red,High,37,400553
875,purple,Low,39,501398
876,red,High,12,810849
877,green,High,84,26845
878,crimson,Medium,75,220939
879,yellow,High,76,177930
880,purple,Medium,91,220900
881,yellow,Medium,47,784551
882,red,Medium,57,901590
883,red,Medium,21,446003
884,blue,Medium,12,488978
885,crimson,Low,17,653651
886,crimson,Low,39,776646
887,purple,High,31,814613
888,red,Low,29,989463
889,red,Medium,55,192685
890,red,Medium,65,881015
891,blue,Low,37,549766
892,purple,High,0,634966
893,blue,High,23,232149
894,blue,Low,13,966763
895,crimson,Medium,8,935445
896,blue,Medium,84,671871
897,crimson,High,53,348195
898,red,Low,82,995351
899,crimson,Medium,80,765149
900,yellow,High,13,135842
901,purple,High,8,857575
902,green,Low,6,655138
903,red,High,27,917305
904,yellow,Medium,37,171342
905,green,High,35,951205
906,yellow,High,40,996912
907,green,High,26,909970
908,green,Low,94,921841
909,blue,Medium,76,504472
910,yellow,High,57,998290
911,purple,Low,45,892028
912,yellow,High,80,303214
913,red,Medium,58,433112
914,purple,High,23,763942
915,crimson,Low,72,798829
916,purple,High,80,671832
917,purple,High,18,526844
918,purple,High,74,324899
919,yellow,Low,15,592908
920,yellow,High,88,152411
921,red,High,64,179334
922,red,Low,3,268175
923,blue,Low,90,979488
924,purple,Medium,20,191723
925,crimson,Low,47,333203
926,crimson,High,62,820404
927,blue,High,97,256230
928,purple,Low,24,839088
929,purple,Medium,82,942432
930,purple,Low,40,921443
931,red,Medium,9,80539
932,red,Low,72,727653
933,red,Medium,71,651151
934,yellow,Medium,92,298589
935,crimson,High,41,870215
936,crimson,Medium,19,41819
937,green,High,86,855792
938,green,Low,67,946169
939,yellow,Low,78,995353
940,yellow,Low,66,564734
941,crimson,Low,87,174827
942,purple,Low,24,338440
943,green,High,84,225760
944,purple,Low,35,106305
945,blue,Medium,46,647380
946,red,High,32,986542
947,crimson,Medium,34,237776
948,blue,High,42,489410
949,yellow,Medium,92,795796
950,red,High,37,648264
951,yellow,Low,82,807378
952,green,High,55,248466
953,purple,High,35,875339
954,blue,Medium,99,189591
955,purple,High,65,50758
956,red,High,93,259763
957,red,Low,20,322890
958,yellow,Medium,99,534530
959,purple,High,46,959157
960,crimson,Medium,98,142772
961,blue,High,91,371578
962,red,High,62,499651
963,red,Medium,62,978363
964,purple,Low,78,891043
965,green,High,30,891385
966,blue,High,91,895388
967,blue,High,51,376743
968,red,Medium,4,494372
969,purple,Low,68,495652
970,blue,High,6,83541
971,blue,High,41,286633
972,red,High,3,827876
973,red,Medium,39,370881
974,yellow,Medium,27,776657
975,purple,Medium,13,851178
976,yellow,Medium,44,312759
977,purple,Low,0,834048
978,yellow,Medium,74,937325
979,yellow,Medium,93,621493
980,blue,High,78,294524
981,green,Medium,0,580151
982,red,Low,0,507536
983,red,Low,96,183205
984,crimson,High,11,902621
985,green,Low,29,210466
986,purple,Medium,5,342816
987,green,Medium,69,890153
988,red,Low,57,255335
989,green,Low,30,519613
990,purple,Medium,18,192181
991,crimson,High,16,545776
992,blue,Medium,81,118894
993,purple,High,75,366067
994,yellow,High,9,339013
995,crimson,Low,9,728186
996,purple,High,90,815724
997,purple,Medium,76,263023
998,yellow,Medium,64,950515
999,red,Low,28,907954
